gender,faculty,age,has_scholarship,hours_studied_weekly,attendance_rate,previous_mark,exam_score
Male,Mathematics,19,False,11.6,81.0,7.7,8.75
Female,Computer Science,22,True,14.8,74.9,10.14,10.0
Female,Nuclear Sciences,22,False,5.9,53.9,6.55,6.55
Female,Computer Science,20,False,11.8,73.9,9.74,10.0
Male,Mathematics,24,False,6.3,80.7,9.7,9.35
Male,Electrical Engineering,21,True,14.3,61.5,7.39,8.85
Male,Mathematics,22,False,10.8,79.7,7.17,8.23
Female,Electrical Engineering,21,False,11.5,77.0,6.74,7.98
Female,Computer Science,18,False,6.1,88.5,7.42,7.88
Female,Mathematics,23,False,13.5,65.8,5.95,7.51
Male,Computer Science,24,False,20.4,59.0,7.42,9.43
Female,Computer Science,21,False,5.0,66.4,9.15,8.48
Female,Nuclear Sciences,19,False,8.3,84.4,6.83,7.71
Male,Computer Science,23,True,11.2,51.7,,8.08
Male,Psychology,19,False,13.9,49.3,,7.01
Male,Mathematics,22,True,7.2,70.9,7.91,8.34
Male,Mathematics,23,False,-4.2,65.6,7.79,6.14
Female,Electrical Engineering,21,False,16.8,70.1,7.57,9.22
Male,Computer Science,23,False,13.8,79.5,7.26,8.74
Male,Psychology,22,False,1.3,64.5,7.18,6.51
Female,Nuclear Sciences,20,True,,51.3,8.05,8.01
Male,Psychology,24,False,17.8,90.4,7.47,9.71
Male,Nuclear Sciences,19,False,17.2,60.0,7.85,9.27
Male,Computer Science,22,True,14.7,59.4,7.74,9.11
Male,Mathematics,20,False,9.1,81.0,8.74,9.1
Female,Mathematics,23,True,10.4,66.2,8.24,8.95
Male,Electrical Engineering,23,False,9.3,69.4,7.71,8.18
Female,Nuclear Sciences,22,False,15.6,74.8,9.17,10.0
Female,Mathematics,21,True,5.6,80.8,7.96,8.33
Male,Psychology,23,False,,66.7,8.94,8.49
Female,Computer Science,21,True,15.1,85.2,8.17,9.99
Male,Psychology,21,True,9.8,48.6,5.47,6.57
Male,Mathematics,24,True,16.9,77.6,8.94,10.0
Female,Nuclear Sciences,21,False,6.6,61.6,7.65,7.58
Female,Psychology,18,False,9.7,83.7,7.44,8.34
Female,Mathematics,24,False,5.4,71.4,7.81,7.7
Male,Computer Science,20,True,10.0,63.3,7.12,8.05
Male,Computer Science,20,True,2.6,76.6,7.75,7.65
Female,Computer Science,23,False,7.6,78.9,6.85,7.51
Male,Mathematics,23,False,2.8,76.4,8.9,8.18
Male,Electrical Engineering,21,False,13.5,59.7,7.38,8.38
Male,Psychology,24,True,13.6,65.2,7.08,8.6
Male,Psychology,24,False,1.3,70.0,6.48,6.13
Female,Computer Science,18,False,16.7,69.6,7.8,9.36
